codemp,prfawb,numawb,oriawb,desawb,OrgPais,DestPais,ZonaOrig,ZonaDest,OficinaOriCap,OficinaDesCap,PosOri,PosDes,Tramos,codpro,dsc_producto,posage,NomAge,NomShp,FecVue,ChWei_BK,GrRev,NetRev,GrossRevSinProrr,SalesRevSinProrr,NetRevSinProrr,GrWeiTotAWB
45,45,91312756,IND,SCL,USA,Chile,NA_USA_Midwest,SA_Chile,CHI,SCL,IND,SCL,IND-MIA-SCL,1,CARGA GENERAL,IND,BDP INTERNATIONAL INC.,BDP IND,02-11-12 0:00,3,0,0,75,155.5,85.5,3
45,45,91312756,IND,SCL,USA,Chile,NA_USA_Midwest,SA_Chile,CHI,SCL,IND,SCL,IND-MIA-SCL,1,CARGA GENERAL,IND,BDP INTERNATIONAL INC.,BDP IND,05-11-12 0:00,3,75,85.5,75,155.5,85.5,3
45,45,91312760,IND,SJO,USA,Costa_Rica,NA_USA_Midwest,CA_Costa_Rica,CHI,SJO,IND,SJO,IND-MIA-SJO,1,CARGA GENERAL,IND,BDP INTERNATIONAL INC.,BDP IND,02-11-12 0:00,2,0,0,155,148.8,78.8,2
45,45,91312760,IND,SJO,USA,Costa_Rica,NA_USA_Midwest,CA_Costa_Rica,CHI,SJO,IND,SJO,IND-MIA-SJO,1,CARGA GENERAL,IND,BDP INTERNATIONAL INC.,BDP IND,06-11-12 0:00,2,155,78.8,155,148.8,78.8,2
45,45,91312771,IND,SCL,USA,Chile,NA_USA_Midwest,SA_Chile,CHI,SCL,IND,SCL,IND-MIA-SCL,1,CARGA GENERAL,IND,BDP INTERNATIONAL INC.,BDP IND,02-11-12 0:00,23,0,0,196.5,306.14,236.14,10
45,45,91312771,IND,SCL,USA,Chile,NA_USA_Midwest,SA_Chile,CHI,SCL,IND,SCL,IND-MIA-SCL,1,CARGA GENERAL,IND,BDP INTERNATIONAL INC.,BDP IND,05-11-12 0:00,23,196.5,236.14,196.5,306.14,236.14,10
45,45,91312782,ATL,SCL,USA,Chile,NA_USA_SouthEast,SA_Chile,ATL,SCL,ATL,SCL,ATL-MIA-SCL,1,CARGA GENERAL,IND,BDP INTERNATIONAL INC.,BDP IND,02-11-12 0:00,1513,0,0,4917.25,4770.56,4510.78,1513
45,45,91312782,ATL,SCL,USA,Chile,NA_USA_SouthEast,SA_Chile,ATL,SCL,ATL,SCL,ATL-MIA-SCL,1,CARGA GENERAL,IND,BDP INTERNATIONAL INC.,BDP IND,05-11-12 0:00,1513,"4,935,222","4,527,266",4917.25,4770.56,4510.78,1513
45,45,91312793,ORD,SCL,USA,Chile,NA_USA_Midwest,SA_Chile,CHI,SCL,ORD,SCL,ORD-JFK-SCL,1,CARGA GENERAL,CHI,BDP INTERNATIONAL INC,BDP INTERNATIONAL INC,03-11-12 0:00,677,0,0,2132.55,2097.25,1907.69,677
45,45,91312793,ORD,SCL,USA,Chile,NA_USA_Midwest,SA_Chile,CHI,SCL,ORD,SCL,ORD-JFK-SCL,1,CARGA GENERAL,CHI,BDP INTERNATIONAL INC,BDP INTERNATIONAL INC,05-11-12 0:00,677,2132.55,1907.69,2132.55,2097.25,1907.69,677
0,45,91312804,ORD,VCP,USA,Brazil,NA_USA_Midwest,SA_Brazil_VCP,CHI,VCP,ORD,VCP,ORD-MIA-VCP,618,OTROS DG CAO,IND,BDP INTERNATIONAL INC.,BDP,03-11-12 0:00,7,0,0,0,0,0,0
0,45,91312804,ORD,VCP,USA,Brazil,NA_USA_Midwest,SA_Brazil_VCP,CHI,VCP,ORD,VCP,ORD-MIA-VCP,618,OTROS DG CAO,IND,BDP INTERNATIONAL INC.,BDP,05-11-12 0:00,7,0,0,0,0,0,0
45,45,91312815,IND,SJO,USA,Costa_Rica,NA_USA_Midwest,CA_Costa_Rica,CHI,SJO,IND,SJO,IND-MIA-SJO,1,CARGA GENERAL,IND,BDP INTERNATIONAL INC.,BDP IND,02-11-12 0:00,2,0,0,155,148.8,78.8,1
45,45,91312815,IND,SJO,USA,Costa_Rica,NA_USA_Midwest,CA_Costa_Rica,CHI,SJO,IND,SJO,IND-MIA-SJO,1,CARGA GENERAL,IND,BDP INTERNATIONAL INC.,BDP IND,06-11-12 0:00,2,155,78.8,155,148.8,78.8,1
45,45,91312826,JFK,SCL,USA,Chile,NA_USA_NewYork,SA_Chile,JFK,SCL,JFK,SCL,JFK-SCL,617,MISCELANEO (CLASE 9),JFK,BDP INTERNATIONAL INC.,BDP INTERNATIONAL INC.,04-11-12 0:00,1505,2868.8,6370.85,2868.8,6370.85,6370.85,1505
0,45,91312830,ORD,LIM,USA,Peru,NA_USA_Midwest,SA_Peru,CHI,LIM,ORD,LIM,ORD-MIA-LIM,517,OTROS DG,CHI,BDP INTERNATIONAL INC,BDP INTERNATIONAL INC,06-11-12 0:00,12,0,0,0,0,0,0
0,45,91312830,ORD,LIM,USA,Peru,NA_USA_Midwest,SA_Peru,CHI,LIM,ORD,LIM,ORD-MIA-LIM,517,OTROS DG,CHI,BDP INTERNATIONAL INC,BDP INTERNATIONAL INC,11-11-12 0:00,12,0,0,0,0,0,0
0,45,91312841,IAH,VCP,USA,Brazil,NA_USA_South,SA_Brazil_VCP,IAH,VCP,IAH,VCP,IAH-MIA-VCP,1,CARGA GENERAL,PHL,BDP INTERNATIONAL INC,BDP INTERNATIONAL INC,06-11-12 0:00,802,0,0,0,0,0,0
0,45,91312841,IAH,VCP,USA,Brazil,NA_USA_South,SA_Brazil_VCP,IAH,VCP,IAH,VCP,IAH-MIA-VCP,1,CARGA GENERAL,PHL,BDP INTERNATIONAL INC,BDP INTERNATIONAL INC,08-11-12 0:00,802,0,0,0,0,0,0
