codemp,prfawb,numawb,oriawb,desawb,OrgPais,DestPais,ZonaOrig,ZonaDest,OficinaOriCap,OficinaDesCap,PosOri,PosDes,tramo,escala,codpro,dsc_producto,codage,posage,NomAge,codshp,posshp,NomShp,dnmvue,numvue,tipvue,FecVue,FchDsp,FchEta,ChWei_BK,GrWei_BK,chwei_awb,grwei_awb,chwei,grwei,HayWhr,GrRev,NetRev,CostoAllot,Interl,Comision,Others_Incomes,DueCarrier,GrossRevSinProrr,SalesRevSinProrr,NetRevSinProrr,matricula,material,Tramos,ChWeiTotAWB,GrWeiTotAWB,TipoServicio,PasaSCL,PasaMIA,PasaLAX,PasaJFK,PasaMEX,PasaGDL,Actualizacion,shsh,prioCpty,FeedbackOp,TipVueRCP,TpotarBk,StsRva,FchWhr,Bode,Piezas,Piezas_BK
0,1,29263625,TUL,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,IAH,ASU,TUL,MIA,1,1,1,CARGA GENERAL,165,DFW,AMERICAN AIRLINES,-12899,,AMERICAN AIRLINES INC.,,,?,03-11-12 0:00,03-11-12 0:00,03-11-12 0:00,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,,,TUL-MIA-ASU,0,0,only Cargo,NO,YES,NO,NO,NO,NO,05-11-12 3:08,1,,,,PESO,Pending,,MIA,3,3
0,1,29263625,TUL,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,IAH,ASU,MIA,ASU,2,2,1,CARGA GENERAL,165,DFW,AMERICAN AIRLINES,-12899,,AMERICAN AIRLINES INC.,RF,741,C,08-11-12 0:00,08-11-12 7:50,08-11-12 17:40,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,N316LA,B767-300F,TUL-MIA-ASU,0,0,only Cargo,NO,YES,NO,NO,NO,NO,05-11-12 3:08,1,,,,PESO,Booked,,MIA,3,3
0,1,34775834,DEN,FOR,USA,Brazil,NA_USA_West,SA_Brazil_Others,LAX,OTBRA,GRU,REC,1,1,1,CARGA GENERAL,812568,D44,,812569,D44,DSV AIR SEA INC,M3,6558,C,07-11-12 0:00,07-11-12 5:45,07-11-12 8:00,845,844,844,844,844,844,1,0,0,0,0,0,0,0,0,0,0,PR-ABD,B767-300F,GRU-REC,0,0,Standard,NO,NO,NO,NO,NO,NO,06-11-12 3:36,1,,,,PESO,Booked,10/27/2012 11:39:00,GRU,2,2
0,6,32615671,MIA,GUA,USA,Guatemala,NA_USA_Florida,CA_Guatemala,MIA,GUA,MIA,GUA,1,1,1,CARGA GENERAL,452,ATL,DELTA AIRLINES INC.,921372,B69,DELTA AIRLINES INC.,,,?,05-11-12 0:00,05-11-12 0:00,05-11-12 0:00,1560,1560,1560,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,,,MIA-GUA,0,0,only Cargo,NO,YES,NO,NO,NO,NO,06-11-12 3:36,1,,,,PESO,Pending,,MIA,48,48
45,20,27067552,MIA,SCL,USA,Chile,NA_USA_Florida,SA_Chile,MIA,SCL,MIA,SCL,1,1,97,CONSOLIDADO,1645,CGN,DEUTSCHE LUFTHANSA AG,1979,D45,DEUTSCHE LUFTHANSA AG,UC,1101,C,05-11-12 0:00,05-11-12 7:50,05-11-12 17:32,294,294,500,294,487.67,294,1,1525,1525,0,0,0,0,0,1525,1525,1525,N774LA,B777-200F,MIA-SCL,500,294,only Cargo,YES,YES,NO,NO,NO,NO,06-11-12 3:36,1,1,,,PESO,Flown,11-03-12 19:36,MIA,2,2
45,23,38425446,GTF,ASU,USA,Paraguay,NA_USA_West,SA_Paraguay,LAX,ASU,GTF,MIA,1,1,517,OTROS DG,1073,MIA,FEDEX EXPRESS,912925,D44,FEDEX EXPRESS,,,?,30-10-12 0:00,30-10-12 0:00,30-10-12 0:00,18,18,18,18,18,18,1,0,0,0,0,0,0,0,75,131.24,131.24,,,GTF-MIA-ASU,18,18,only Cargo,NO,YES,NO,NO,NO,NO,06-11-12 3:36,1,,,,PESO,Pending,10/30/2012 14:32:00,MIA,1,1
45,23,38425446,GTF,ASU,USA,Paraguay,NA_USA_West,SA_Paraguay,LAX,ASU,MIA,ASU,2,2,517,OTROS DG,1073,MIA,FEDEX EXPRESS,912925,D44,FEDEX EXPRESS,RF,767,C,03-11-12 0:00,03-11-12 6:51,03-11-12 16:34,18,18,18,18,18,18,1,75,131.24,0,0,0,0,0,75,131.24,131.24,N422LA,B767-300F,GTF-MIA-ASU,18,18,only Cargo,NO,YES,NO,NO,NO,NO,06-11-12 3:36,1,0,,,PESO,Flown,10/30/2012 14:32:00,MIA,1,1
45,23,75048794,AUS,POA,USA,Brazil,NA_USA_South,SA_Brazil_Special,IAH,POA,AUS,MIA,1,1,517,OTROS DG,1073,MIA,FEDEX EXPRESS,925436,D44,FEDEX EXPRESS,,,?,31-10-12 0:00,31-10-12 0:00,31-10-12 0:00,17,16,15.5,8.5,13.19,8.5,1,0,0,0,0,0,0,0,79.11,114.11,114.11,,,AUS-MIA-POA,15.5,8.5,only Cargo,NO,YES,NO,NO,NO,NO,06-11-12 3:36,1,,,,PESO,Pending,10/31/2012 14:47:00,MIA,3,3
45,23,75048794,AUS,POA,USA,Brazil,NA_USA_South,SA_Brazil_Special,IAH,POA,MIA,POA,2,2,517,OTROS DG,1073,MIA,FEDEX EXPRESS,925436,D44,FEDEX EXPRESS,RF,741,C,02-11-12 0:00,02-11-12 1:47,02-11-12 8:45,17,16,15.5,8.5,13.19,8.5,1,79.11,114.11,0,0,0,0,0,79.11,114.11,114.11,N422LA,B767-300F,AUS-MIA-POA,15.5,8.5,only Cargo,NO,YES,NO,NO,NO,NO,06-11-12 3:36,1,,,,PESO,Flown,10/31/2012 14:47:00,MIA,3,3
0,23,78119554,MEM,MAO,USA,Brazil,NA_USA_SouthEast,SA_Brazil_MAO,ATL,MAO,MEM,GRU,1,1,1,CARGA GENERAL,940948,D44,,940949,D44,DHL GLOBAL,,,?,02-11-12 0:00,02-11-12 0:00,02-11-12 0:00,29,29,29,29,29,29,1,0,0,0,0,0,0,0,0,0,0,,,MEM-GRU-MAO,0,0,Standard,NO,NO,NO,NO,NO,NO,06-11-12 3:36,1,,,,PESO,Pending,11-02-12 13:44,GRU,2,2
