numawb,oriawb,desawb,OrgPais,DestPais,ZonaOrig,ZonaDest,PosOri,PosDes,Tramos,codpro,dsc_producto,posage,NomAge,NomShp,dnmvue,numvue,tipvue,FecVue,FchDsp,FchEta,ChWei_BK,GrRev,NetRev,TipoServicio,Piezas
89929991,TUL,GRU,USA,Brazil,NA_USA_South,SA_Brazil_GRU,TUL,IAH,TUL-IAH-MIA-GRU,1,CARGA GENERAL,DEN,SEKO WORLDWIDE LLC,SEKO WORLDWIDE LLC,TLA,3024,T,02-11-12 0:00,03-11-12 2:30,06-03-14 0:00,111,0,0,Only Pax,1
89930750,LAX,POA,USA,Brazil,NA_USA_West,SA_Brazil_Special,LAX,MIA,LAX-MIA-POA,97,CONSOLIDADO,LAX,CLEARFREIGHT (A CALIFORNIA CORP),CLEARFREIGHT (A CALIFORNIA CORP),RF,771,C,28-10-12 0:00,28-10-12 3:50,07-03-14 0:00,5,2946118.529,3500189.99,only Cargo,1
89930805,LAX,SCL,USA,Chile,NA_USA_West,SA_Chile,LAX,SCL,LAX-SCL,613,PECES VIVOS,LAX,CLEARFREIGHT (A CALIFORNIA CORP),CLEARFREIGHT (A CALIF. CORP),LA,601,P,05-11-12 0:00,05-11-12 12:26,08-03-14 0:00,204,621.24,980.2,Only Pax,8
89930816,LAX,SCL,USA,Chile,NA_USA_West,SA_Chile,LAX,SCL,LAX-SCL,613,PECES VIVOS,LAX,CLEARFREIGHT (A CALIFORNIA CORP),CLEARFREIGHT (A CALIF. CORP),LA,601,P,07-11-12 0:00,07-11-12 12:30,09-03-14 0:00,374,0,0,Only Pax,20
89930820,LAX,VCP,USA,Brazil,NA_USA_West,SA_Brazil_VCP,LAX,MEX,LAX-MEX-VCP,517,OTROS DG,LAX,CLEARFREIGHT (A CALIFORNIA CORP),CLEARFREIGHT (A CALIF. CORP),M7,6827,C,06-11-12 0:00,06-11-12 11:10,10-03-14 0:00,55,0,0,only Cargo,5
89930831,LAX,LIM,USA,Peru,NA_USA_West,SA_Peru,LAX,LIM,LAX-LIM,1,CARGA GENERAL,LAX,CLEARFREIGHT (A CALIFORNIA CORP),CLEARFREIGHT (A CALIF. CORP),LA,2605,P,03-11-12 0:00,03-11-12 22:14,11-03-14 0:00,2,75,270.1,Only Pax,1
89946732,ORD,GRU,USA,Brazil,NA_USA_Midwest,SA_Brazil_GRU,ORD,MIA,ORD-MIA-VCP-GRU,97,CONSOLIDADO,CHI,NIPPON EXPRESS,NIPPON,TPR,1,T,18-10-12 0:00,18-10-12 23:00,12-03-14 0:00,132,303.6,531.62,Standard,1
89946780,ORD,VCP,USA,Brazil,NA_USA_Midwest,SA_Brazil_VCP,ORD,MIA,ORD-MIA-VCP,97,CONSOLIDADO,CHI,NIPPON EXPRESS,NIPPON EXPRESS,TPR,1,T,01-11-12 0:00,01-11-12 23:00,13-03-14 0:00,307,556.2,1075.16,Standard,2
89946791,ORD,GUA,USA,Guatemala,NA_USA_Midwest,CA_Guatemala,ORD,MIA,ORD-MIA-GUA,97,CONSOLIDADO,CHI,NIPPON EXPRESS,NIPPON EXPRESS,TPR,1,T,03-11-12 0:00,03-11-12 23:00,14-03-14 0:00,100,1962777,1531973,Standard,1
89946802,ORD,MAO,USA,Brazil,NA_USA_Midwest,SA_Brazil_MAO,ORD,MIA,ORD-MIA-MAO,514,MEDICAMENTOS / VACUNAS,CHI,NIPPON EXPRESS,NIPPON EXPRESS,TPR,1,T,07-11-12 0:00,08-11-12 0:00,15-03-14 0:00,29,0,0,FXP,2
89948983,LAX,EZE,USA,Argentina,NA_USA_West,SA_Argentina_EZE,LAX,LIM,LAX-LIM-EZE,1,CARGA GENERAL,LAX,I.L.S. INC.,I.L.S.,LA,601,P,07-11-12 0:00,07-11-12 12:30,16-03-14 0:00,416,0,0,Only Pax,1
89958890,MIA,GRU,USA,Brazil,NA_USA_Florida,SA_Brazil_GRU,MIA,GRU,MIA-GRU,1,CARGA GENERAL,MIA,ROCK IT CARGO USA. INC.,ROCK IT CARGO USA. INC.,M3,8473,C,05-11-12 0:00,04-11-12 23:27,17-03-14 0:00,107,297.46,539.36,only Cargo,1
89962574,SEA,SCL,USA,Chile,NA_USA_West,SA_Chile,SEA,SFO,SEA-SFO-LIM-SCL,1,CARGA GENERAL,SEA,SPRINT FORWARDERS INC,SPRINT FORWARDERS INC,QJ,2,E,05-11-12 0:00,05-11-12 7:00,18-03-14 0:00,3263,0,0,Only Pax,5
89962585,SEA,SCL,USA,Chile,NA_USA_West,SA_Chile,SEA,SFO,SEA-SFO-LIM-SCL,1,CARGA GENERAL,SEA,SPRINT FORWARDERS INC,SPRINT FORWARDERS INC,QJ,2,E,06-11-12 0:00,06-11-12 7:00,19-03-14 0:00,3749,0,0,Standard,4
89968104,IAH,UIO,USA,Ecuador,NA_USA_South,SA_Ecuador_UIO,IAH,MIA,IAH-MIA-UIO,1,CARGA GENERAL,HOU,ALIEF SERVICE,ALIEF SERVICE,TBC,1827,T,31-10-12 0:00,01-11-12 2:30,20-03-14 0:00,176,325.6,285.22,only Cargo,1
89968115,IAH,UIO,USA,Ecuador,NA_USA_South,SA_Ecuador_UIO,IAH,MIA,IAH-MIA-UIO,1,CARGA GENERAL,HOU,ALIEF SERVICE,ALIEF SERVICE,TBC,1827,T,31-10-12 0:00,01-11-12 2:30,21-03-14 0:00,100,185,301.37,only Cargo,1
89968642,MIA,GRU,USA,Brazil,NA_USA_Florida,SA_Brazil_GRU,MIA,GRU,MIA-GRU,97,CONSOLIDADO,MIA,ABOARD CARGO SERVICE INC,ABOARD CARGO SERVICE INC,JJ,8095,P,06-11-12 0:00,06-11-12 0:00,22-03-14 0:00,17,0,0,Only Pax,2
89968653,MIA,LIM,USA,Peru,NA_USA_Florida,SA_Peru,MIA,LIM,MIA-LIM,1,CARGA GENERAL,MIA,ABOARD CARGO SERVICE INC,ABOARD CARGO SERVICE INC,LA,2511,P,01-11-12 0:00,01-11-12 23:55,23-03-14 0:00,50,199.5,277.63,Pos FS,3
89981662,IAH,SCL,USA,Chile,NA_USA_South,SA_Chile,IAH,MIA,IAH-MIA-SCL,1,CARGA GENERAL,MIA,WALK-IN CUSTOMER,WALK-IN CUSTOMER,TBC,1823,T,06-11-12 0:00,07-11-12 3:30,24-03-14 0:00,206,0,0,only Cargo,6
89982885,MIA,SJO,USA,Costa_Rica,NA_USA_Florida,CA_Costa_Rica,MIA,SJO,MIA-SJO,97,CONSOLIDADO,MIA,CARGO INTERNATIONAL CONSOLIDATORS,CARGO INTERNATIONAL CONSOLIDATORS,,,?,06-11-12 0:00,06-11-12 0:00,25-03-14 0:00,5,0,0,only Cargo,1
90001612,MIA,MVD,USA,Uruguay,NA_USA_Florida,SA_Uruguay,MIA,MVD,MIA-MVD,1,CARGA GENERAL,MIA,EXPRESS CONSOLIDATION SYSTEMS CORP,EXPRESS CONSOLIDATION SYSTEMS CORP,UC,1103,C,06-11-12 0:00,06-11-12 11:17,26-03-14 0:00,14,0,0,only Cargo,1
90003196,LAX,SCL,USA,Chile,NA_USA_West,SA_Chile,LAX,SCL,LAX-SCL,1,CARGA GENERAL,SAN,WORLDTRANS SERVICES INC,WORLDTRANS SERVICES INC,LA,601,P,07-11-12 0:00,07-11-12 12:30,27-03-14 0:00,194,0,0,Only Pax,1
90003502,CLE,VCP,USA,Brazil,NA_USA_Midwest,SA_Brazil_VCP,CLE,MIA,CLE-MIA-VCP,97,CONSOLIDADO,CLE,PANTHER EXPEDITED SERVICES,PANTHER CLE,TPR,20,T,31-10-12 0:00,31-10-12 22:00,28-03-14 0:00,454,0,0,Standard,1
90027991,MIA,EZE,USA,Argentina,NA_USA_Florida,SA_Argentina_EZE,MIA,EZE,MIA-EZE,1,CARGA GENERAL,MIA,NIPPON EXPRESS U.S.A. INC.,NIPPON EXPRESS U.S.A. INC.,UC,1105,C,07-11-12 0:00,07-11-12 11:45,29-03-14 0:00,50,0,0,only Cargo,3
90028035,MIA,EZE,USA,Argentina,NA_USA_Florida,SA_Argentina_EZE,MIA,SCL,MIA-SCL-EZE,97,CONSOLIDADO,MIA,NIPPON EXPRESS U.S.A. INC.,NIPPON EXPRESS U.S.A. INC.,RF,769,C,04-11-12 0:00,04-11-12 15:27,30-03-14 0:00,100,6246276,534,only Cargo,12
90032585,MIA,MVD,USA,Uruguay,NA_USA_Florida,SA_Uruguay,MIA,MVD,MIA-MVD,97,CONSOLIDADO,MIA,SAVINO DEL BENE U.S.A. INC,SAVINO DEL BENE U.S.A. INC,UC,1107,C,03-11-12 0:00,03-11-12 8:30,31-03-14 0:00,1670,3239,6357,only Cargo,12
90032596,MIA,ASU,USA,Paraguay,NA_USA_Florida,SA_Paraguay,MIA,ASU,MIA-ASU,97,CONSOLIDADO,MIA,SAVINO DEL BENE U.S.A. INC,SAVINO DEL BENE U.S.A. INC,RF,561,C,03-11-12 0:00,03-11-12 7:20,01-04-14 0:00,10003,24710.51,42693.49,only Cargo,75
90033064,LAX,MVD,USA,Uruguay,NA_USA_West,SA_Uruguay,LAX,SCL,LAX-SCL-MVD,1,CARGA GENERAL,LAX,"SHO-AIR INTERNATIONAL, INC",SHO AIR,LA,601,P,03-11-12 0:00,03-11-12 13:21,02-04-14 0:00,242,17372186,1558.05,Only Pax,1
90038616,BOS,VCP,USA,Brazil,NA_USA_NorthEast,SA_Brazil_VCP,BOS,MIA,BOS-MIA-VCP,97,CONSOLIDADO,BOS,,CRANE,TLD,222,T,02-11-12 0:00,02-11-12 22:00,03-04-14 0:00,5,0,0,only Cargo,1
90042385,LAX,MAO,USA,Brazil,NA_USA_West,SA_Brazil_MAO,LAX,MIA,LAX-MIA-MAO,97,CONSOLIDADO,LAX,NIPPON EXPRESS U.S.A. INC,NIPPON EXPRESS U.S.A. INC,TTG,610,T,03-11-12 0:00,04-11-12 6:00,04-04-14 0:00,15,0,0,only Cargo,1
90042396,LAX,MVD,USA,Uruguay,NA_USA_West,SA_Uruguay,LAX,SCL,LAX-SCL-MVD,97,CONSOLIDADO,LAX,NIPPON EXPRESS U.S.A. INC,NIPPON EXPRESS U.S.A. INC,LA,601,P,01-11-12 0:00,01-11-12 13:26,05-04-14 0:00,13,2140449,213.6,Only Pax,1
90043520,MIA,ASU,USA,Paraguay,NA_USA_Florida,SA_Paraguay,MIA,ASU,MIA-ASU,1,CARGA GENERAL,PDX,TLR-TOTAL LOGISTICS RESOURCE,HURRICANE BUTTERFLY HOLDINGS,RF,561,C,03-11-12 0:00,03-11-12 7:20,06-04-14 0:00,863,2842.6,4623.04,Standard,1
90046703,JFK,GRU,USA,Brazil,NA_USA_NewYork,SA_Brazil_GRU,JFK,GRU,JFK-GRU,97,CONSOLIDADO,JFK,PORT AIR CARGO INTERNATIONAL INC,PORT AIR CARGO INTERNATIONAL INC,JJ,8081,P,02-11-12 0:00,02-11-12 0:00,07-04-14 0:00,928,955.84,2707.64,Only Pax,17
90046725,JFK,MVD,USA,Uruguay,NA_USA_NewYork,SA_Uruguay,JFK,SCL,JFK-SCL-MVD,1,CARGA GENERAL,JFK,PORT AIR CARGO INTERNATIONAL INC,PORT AIR CARGO INTERNATIONAL INC,LA,531,P,03-11-12 0:00,04-11-12 0:22,08-04-14 0:00,167,6798152,807.05,Only Pax,1
90046736,MIA,BSB,USA,Brazil,NA_USA_Florida,SA_Brazil_Others,MIA,BSB,MIA-BSB,1,CARGA GENERAL,MIA,PORT AIR CARGO INTERNATIONAL INC.,PORT AIR CARGO INTERNATIONAL INC.,JJ,8043,P,07-11-12 0:00,07-11-12 0:00,09-04-14 0:00,414,0,0,Only Pax,21
90046740,JFK,CCS,USA,Venezuela,NA_USA_NewYork,SA_Venezuela,JFK,LIM,JFK-LIM-CCS,1,CARGA GENERAL,JFK,PORT AIR CARGO INTERNATIONAL INC,PORT AIR CARGO INTERNATIONAL ,LA,531,P,06-11-12 0:00,06-11-12 22:55,10-04-14 0:00,53,0,0,Only Pax,5
90058452,IAH,PTY,USA,Panama,NA_USA_South,CA_Panama,IAH,MIA,IAH-MIA-PTY,1,CARGA GENERAL,HOU,ASL GLOBAL LOGISTICS INC.,ASL GLOBAL LOGISTICS INC.,TBC,1827,T,31-10-12 0:00,01-11-12 2:30,11-04-14 0:00,6,84.03,124.35,Only Pax,1
90074401,PDX,VCP,USA,Brazil,NA_USA_West,SA_Brazil_VCP,PDX,LAX,PDX-LAX-MEX-VCP,97,CONSOLIDADO,PDX,NNR GLOBAL LOGISTICS USA INC,NNR GLOBAL LOGISTICS USA INC,QJ,5,E,01-11-12 0:00,01-11-12 6:00,12-04-14 0:00,64,7687437,7590348.7,only Cargo,1
90074714,LAX,GRU,USA,Brazil,NA_USA_West,SA_Brazil_GRU,LAX,MIA,LAX-MIA-GRU,97,CONSOLIDADO,LAX,ALLSTATES AIR CARGO INC,ALLSTATES AIR CARGO INC,TTG,510,T,02-11-12 0:00,03-11-12 6:00,13-04-14 0:00,2841,0,0,only Cargo,8
90082215,JFK,EZE,USA,Argentina,NA_USA_NewYork,SA_Argentina_EZE,JFK,LIM,JFK-LIM-EZE,97,CONSOLIDADO,JFK,EXPRESS AIR FREIGHT UNLIMITED INC.,EXPRESS AIR FREIGHT,LA,531,P,03-11-12 0:00,04-11-12 0:22,14-04-14 0:00,31,4227345,496.8,Only Pax,2
90083755,MIA,CNF,USA,Brazil,NA_USA_Florida,SA_Brazil_Others,MIA,CNF,MIA-CNF,97,CONSOLIDADO,MIA,LL CARGO LLC,LL CARGO LLC,M3,8461,C,05-11-12 0:00,04-11-12 22:34,15-04-14 0:00,251,1012,1512.81,only Cargo,1
90083770,MIA,NVT,USA,Brazil,NA_USA_Florida,SA_Brazil_Others,MIA,GRU,MIA-GRU-NVT,97,CONSOLIDADO,MIA,LL CARGO LLC,LL CARGO LLC,JJ,8095,P,02-11-12 0:00,02-11-12 0:00,16-04-14 0:00,27,162.54,262.44,Only Pax,1
90088143,MIA,SJO,USA,Costa_Rica,NA_USA_Florida,CA_Costa_Rica,MIA,SJO,MIA-SJO,517,OTROS DG,MIA,"ALPHA LOGISTICS, INC",ALPHA LOGISTICS INC,UC,1201,C,08-11-12 0:00,07-11-12 22:00,17-04-14 0:00,200,0,0,only Cargo,5
90089226,JFK,LIM,USA,Peru,NA_USA_NewYork,SA_Peru,JFK,MIA,JFK-MIA-LIM,1,CARGA GENERAL,JFK,LAN AIRLINES S.A.,CESAR TERRONES ,TAN,1,T,03-11-12 0:00,04-11-12 3:00,18-04-14 0:00,618,0,0,Standard,21
90092811,MIA,IQQ,USA,Chile,NA_USA_Florida,SA_Chile,MIA,SCL,MIA-SCL-IQQ,1,CARGA GENERAL,MIA,KELLY GROUP ENTERPRISES CORP,KELLY GROUP ENTERPRISES CORP,LA,501,P,29-10-12 0:00,29-10-12 21:25,19-04-14 0:00,194,6111000,1029.7,Only Pax,3
90092822,MIA,IQQ,USA,Chile,NA_USA_Florida,SA_Chile,MIA,SCL,MIA-SCL-IQQ,1,CARGA GENERAL,MIA,KELLY GROUP ENTERPRISES CORP,KELLY GROUP ENTERPRISES CORP,LA,503,P,02-11-12 0:00,02-11-12 22:27,20-04-14 0:00,147,4630500,787.95,Standard,2
90099671,IAH,LIM,USA,Peru,NA_USA_South,SA_Peru,IAH,MIA,IAH-MIA-LIM,1,CARGA GENERAL,HOU,GAIL WINDS LOGISTICS INC,GAIL WINDS LOGISTICS INC,TBC,1823,T,06-11-12 0:00,07-11-12 3:30,21-04-14 0:00,132,0,0,Only Pax,1
90101476,IAH,GUA,USA,Guatemala,NA_USA_South,CA_Guatemala,IAH,MIA,IAH-MIA-GUA,516,RADIOACTIVA,IAD,SKY COURIER INC,SKY COURIER INC,TBC,1823,T,06-11-12 0:00,07-11-12 3:30,22-04-14 0:00,66,0,0,only Cargo,1
90101480,JFK,LIM,USA,Peru,NA_USA_NewYork,SA_Peru,JFK,LIM,JFK-LIM,1,CARGA GENERAL,IAD,SKY COURIER INC,SKY COURIER INC,LA,531,P,01-11-12 0:00,02-11-12 2:18,23-04-14 0:00,152,395.07,750.39,Pos FS,1
90105131,JFK,EZE,USA,Argentina,NA_USA_NewYork,SA_Argentina_EZE,JFK,LIM,JFK-LIM-EZE,1,CARGA GENERAL,JFK,AGILITY LOGISTICS LIMITED,AGILITY LOGISTICS LIMITED,LA,531,P,06-11-12 0:00,06-11-12 22:55,24-04-14 0:00,852,0,0,Only Pax,13
90105142,JFK,GIG,USA,Brazil,NA_USA_NewYork,SA_Brazil_GIG,JFK,MIA,JFK-MIA-GIG,97,CONSOLIDADO,JFK,AGILITY LOGISTICS LIMITED,AGILITY LOGISTICS LIMITED,TAN,1,T,27-10-12 0:00,28-10-12 3:00,25-04-14 0:00,7,0,0,Standard,1
90105153,JFK,GRU,USA,Brazil,NA_USA_NewYork,SA_Brazil_GRU,JFK,GRU,JFK-GRU,97,CONSOLIDADO,JFK,AGILITY LOGISTICS LIMITED,AGILITY LOGISTICS LIMITED,JJ,8083,P,04-11-12 0:00,04-11-12 0:00,26-04-14 0:00,300,180,215,Only Pax,4
90105164,JFK,GIG,USA,Brazil,NA_USA_NewYork,SA_Brazil_GIG,JFK,GIG,JFK-GIG,97,CONSOLIDADO,JFK,AGILITY LOGISTICS LIMITED,AGILITY LOGISTICS LIMITED,JJ,8079,P,04-11-12 0:00,04-11-12 0:00,27-04-14 0:00,501,1004.85,1039.85,Only Pax,4
90105175,JFK,LIM,USA,Peru,NA_USA_NewYork,SA_Peru,JFK,LIM,JFK-LIM,97,CONSOLIDADO,JFK,AGILITY LOGISTICS LIMITED,AGILITY LOGISTICS LIMITED,LA,531,P,02-11-12 0:00,02-11-12 23:55,28-04-14 0:00,8,75,180.3,Only Pax,2
90110565,ATL,GIG,USA,Brazil,NA_USA_SouthEast,SA_Brazil_GIG,ATL,MIA,ATL-MIA-SCL-GIG,97,CONSOLIDADO,ATL,HELLMANN WORLDWIDE LOGISTICS INC,HELLMANN WORLDWIDE LOGISTICS INC,TLD,999,T,26-10-12 0:00,27-10-12 0:00,29-04-14 0:00,50,4284098,380.54,Standard,2
90110580,ATL,GRU,USA,Brazil,NA_USA_SouthEast,SA_Brazil_GRU,ATL,MCO,ATL-MCO-GRU,97,CONSOLIDADO,ATL,HELLMANN WORLDWIDE LOGISTICS INC,HELLMANN,TLD,770,T,31-10-12 0:00,01-11-12 0:00,30-04-14 0:00,611,1468.8,1267.57,Standard,4
90110591,ATL,POA,USA,Brazil,NA_USA_SouthEast,SA_Brazil_Special,ATL,MIA,ATL-MIA-POA,97,CONSOLIDADO,ATL,HELLMANN WORLDWIDE LOGISTICS INC,HELLMANN WORLDWIDE LOGISTICS INC,TLD,999,T,02-11-12 0:00,03-11-12 0:00,01-05-14 0:00,304,810.29,1314.69,Standard,3
90110602,ATL,MAO,USA,Brazil,NA_USA_SouthEast,SA_Brazil_MAO,ATL,MIA,ATL-MIA-MAO,97,CONSOLIDADO,ATL,HELLMANN WORLDWIDE LOGISTICS INC,HELLMANN WORLDWIDE LOGISTICS INC,TLD,999,T,31-10-12 0:00,01-11-12 0:00,02-05-14 0:00,18,90,132,Standard,1
90110613,ATL,GRU,USA,Brazil,NA_USA_SouthEast,SA_Brazil_GRU,ATL,MCO,ATL-MCO-GRU,97,CONSOLIDADO,ATL,HELLMANN WORLDWIDE LOGISTICS INC,HELLMANN,TLD,770,T,05-11-12 0:00,06-11-12 1:00,03-05-14 0:00,150,0,0,Standard,1
90114555,ORD,ASU,USA,Paraguay,NA_USA_Midwest,SA_Paraguay,ORD,MIA,ORD-MIA-ASU,1,CARGA GENERAL,CHI,UNIVERSAL FORWARDING OVERSEAS,UNIVERSAL FORWARDING,TPR,1,T,30-10-12 0:00,30-10-12 23:00,04-05-14 0:00,3992,17365.2,15868.19,Standard,4
90114566,ORD,SJO,USA,Costa_Rica,NA_USA_Midwest,CA_Costa_Rica,ORD,MIA,ORD-MIA-SJO,1,CARGA GENERAL,CHI,UNIVERSAL FORWARDING OVERSEAS,UNIVERSAL FORWARDING OVERSEAS,TPR,1,T,30-10-12 0:00,30-10-12 23:00,05-05-14 0:00,295,0,0,Only Pax,1
90121765,JFK,GRU,USA,Brazil,NA_USA_NewYork,SA_Brazil_GRU,JFK,GRU,JFK-GRU,1,CARGA GENERAL,JFK,JAS FORWARDING USA INC,JAS FORWARDING USA INC,JJ,8083,P,06-11-12 0:00,06-11-12 0:00,06-05-14 0:00,177,0,0,Only Pax,3
90121776,JFK,SCL,USA,Chile,NA_USA_NewYork,SA_Chile,JFK,SCL,JFK-SCL,97,CONSOLIDADO,JFK,JAS FORWARDING USA INC,JAS FORWARDING USA INC,LA,533,P,03-11-12 0:00,03-11-12 20:00,07-05-14 0:00,127,222.25,523.15,Only Pax,2
90122233,ORD,GDL,USA,Mexico,NA_USA_Midwest,NA_Mexico_GDL,ORD,MIA,ORD-MIA-MEX-GDL,97,CONSOLIDADO,CHI,HANKYU INTERNATIONAL TRANSPORT USA INC,HANKYU,TPR,1,T,30-10-12 0:00,30-10-12 23:00,08-05-14 0:00,1695,8063355,4748003.18,Standard,2
90125825,MIA,PUQ,USA,Chile,NA_USA_Florida,SA_Chile,MIA,SCL,MIA-SCL-PUQ,97,CONSOLIDADO,MIA,DHL GLOBAL FORWARDING,DHL GLOBAL FORWARDING,UC,1501,C,01-11-12 0:00,01-11-12 19:16,09-05-14 0:00,60,270,525,only Cargo,3
90130261,ORD,GYE,USA,Ecuador,NA_USA_Midwest,SA_Ecuador_GYE,ORD,MIA,ORD-MIA-GYE,1,CARGA GENERAL,CHI,I.C.S. CUSTOMS SERVICE INC,I.C.S.,TPR,1,T,05-11-12 0:00,06-11-12 0:00,10-05-14 0:00,397,0,0,Standard,2
90130504,MIA,GUA,USA,Guatemala,NA_USA_Florida,CA_Guatemala,MIA,GUA,MIA-GUA,97,CONSOLIDADO,MIA,KGL AMERICA INC.,KGL AMERICA INC.,RF,125,C,01-11-12 0:00,01-11-12 6:00,11-05-14 0:00,501,552.64,552.64,only Cargo,3
90130515,MIA,MVD,USA,Uruguay,NA_USA_Florida,SA_Uruguay,MIA,MVD,MIA-MVD,517,OTROS DG,MIA,KGL AMERICA INC.,KGL AMERICA INC.,UC,1103,C,06-11-12 0:00,06-11-12 11:17,12-05-14 0:00,301,0,0,only Cargo,2
90131484,MIA,LIM,USA,Peru,NA_USA_Florida,SA_Peru,MIA,LIM,MIA-LIM,97,CONSOLIDADO,MIA,SEAFAIR USA LLC,SEAFAIR USA LLC,UC,1401,C,07-11-12 0:00,07-11-12 7:40,13-05-14 0:00,1663,0,0,only Cargo,6
90159090,LAX,GRU,USA,Brazil,NA_USA_West,SA_Brazil_GRU,LAX,LIM,LAX-LIM-GRU,97,CONSOLIDADO,LAX,NDA WORLDWIDE LOGISTICS CORP,NDA WORLDWIDE LOGISTICS CORP,LA,2605,P,30-10-12 0:00,30-10-12 22:09,14-05-14 0:00,162,6805882,632.7,Standard,5
90159101,LAX,GRU,USA,Brazil,NA_USA_West,SA_Brazil_GRU,LAX,LIM,LAX-LIM-GRU,1,CARGA GENERAL,LAX,NDA WORLDWIDE LOGISTICS CORP,NDA WORLDWIDE LOGISTICS CORP,LA,2605,P,06-11-12 0:00,06-11-12 21:15,15-05-14 0:00,17,0,0,Only Pax,2
90162800,MIA,CNF,USA,Brazil,NA_USA_Florida,SA_Brazil_Others,MIA,CNF,MIA-CNF,97,CONSOLIDADO,MIA,CAPITAL CORP DBA CAPITAL TRANSTPN & TECH,CAPITAL CORP DBA CAPITAL TRANSTPN   TECH,JJ,8059,P,06-11-12 0:00,06-11-12 0:00,16-05-14 0:00,167,0,0,Pos FS,19
90162811,MIA,GUA,USA,Guatemala,NA_USA_Florida,CA_Guatemala,MIA,GUA,MIA-GUA,97,CONSOLIDADO,MIA,CAPITAL CORP DBA CAPITAL TRANSTPN & TECH,CAPITAL,UC,1205,C,02-11-12 0:00,02-11-12 5:30,17-05-14 0:00,50,105.97,105.97,only Cargo,3
90168212,ORD,VCP,USA,Brazil,NA_USA_Midwest,SA_Brazil_VCP,ORD,MIA,ORD-MIA-VCP,1,CARGA GENERAL,IND,LANGHAM TRANSPORT,LANGHAM - SAFETY EQUIPMENT,TPR,1,T,03-11-12 0:00,03-11-12 23:00,18-05-14 0:00,1545,0,0,FXP,8
90169682,MIA,ASU,USA,Paraguay,NA_USA_Florida,SA_Paraguay,MIA,ASU,MIA-ASU,97,CONSOLIDADO,MIA,ELEMAR INTERNATIONAL FORWARDING,ELEMAR INTERNATIONAL FORWARDING,RF,767,C,03-11-12 0:00,03-11-12 6:51,19-05-14 0:00,700,2355.2,4305.48,only Cargo,4
90169741,MIA,LIM,USA,Peru,NA_USA_Florida,SA_Peru,MIA,LIM,MIA-LIM,97,CONSOLIDADO,MIA,ELEMAR INTERNATIONAL FORWARDING,ELEMAR INTERNATIONAL FORWARDING,LA,2515,P,01-11-12 0:00,01-11-12 18:46,20-05-14 0:00,802,1478.4,1543.4,Only Pax,4
90170570,IAH,EZE,USA,Argentina,NA_USA_South,SA_Argentina_EZE,IAH,MIA,IAH-MIA-EZE,617,MISCELANEO (CLASE 9),HOU,"BERTLING LOGISTICS, INC.","BERTLING LOGISTICS, INC.",TBC,1823,T,06-11-12 0:00,07-11-12 3:30,21-05-14 0:00,27,0,0,only Cargo,1
90170920,IAH,GIG,USA,Brazil,NA_USA_South,SA_Brazil_GIG,IAH,MIA,IAH-MIA-GIG,1,CARGA GENERAL,HOU,L.E. COPPERSMITH INC,L.E.COPPERSMITH INC,TBC,1817,T,30-10-12 0:00,31-10-12 2:30,22-05-14 0:00,4,75,136.66,Only Pax,1
90175621,JFK,SCL,USA,Chile,NA_USA_NewYork,SA_Chile,JFK,SCL,JFK-SCL,97,CONSOLIDADO,JFK,EXPEDITORS INTL OF WASHINGTON INC,EXPEDITORS INTL OF WASHINGTON INC,LA,533,P,04-11-12 0:00,04-11-12 19:53,23-05-14 0:00,302,513.4,1132.1,Only Pax,4
90175654,JFK,EZE,USA,Argentina,NA_USA_NewYork,SA_Argentina_EZE,JFK,GYE,JFK-GYE-LIM-EZE,97,CONSOLIDADO,JFK,EXPEDITORS INTL OF WASHINGTON INC,EXPEDITORS INTL OF WASHINGTON INC,XL,539,P,01-11-12 0:00,01-11-12 23:25,24-05-14 0:00,1137,0,0,Only Pax,4
90177231,JFK,VIX,USA,Brazil,NA_USA_NewYork,SA_Brazil_Special,JFK,MIA,JFK-MIA-VIX,97,CONSOLIDADO,EWR,SBS WORLDWIDE INC,SBS WORLDWIDE INC,TAN,1,T,25-10-12 0:00,26-10-12 3:00,25-05-14 0:00,207,241.48,581.99,Standard,1
90181291,ORD,VCP,USA,Brazil,NA_USA_Midwest,SA_Brazil_VCP,ORD,MIA,ORD-MIA-VCP,97,CONSOLIDADO,CHI,DSV AIR & SEA INC.,DSV AIR   SEA - CHI,TPR,1,T,03-11-12 0:00,03-11-12 23:00,26-05-14 0:00,47,0,0,Only Pax,7
90182691,CLT,EZE,USA,Argentina,NA_USA_SouthEast,SA_Argentina_EZE,CLT,JFK,CLT-JFK-LIM-EZE,97,CONSOLIDADO,CLT,DACHSER TRANSPORT OF AMERICA INC,DACHSER TRANSPORT OF AMERICA INC,TRK,333,T,02-11-12 0:00,03-11-12 0:00,27-05-14 0:00,4,7466443.336,178.8,Standard,1
90182702,CLT,GIG,USA,Brazil,NA_USA_SouthEast,SA_Brazil_GIG,CLT,JFK,CLT-JFK-GIG,1,CARGA GENERAL,CLT,DACHSER TRANSPORT OF AMERICA INC,DCHSR CLT,TRK,333,T,05-11-12 0:00,05-11-12 23:00,28-05-14 0:00,8,0,0,Only Pax,1
