numawb,oriawb,desawb,OrgPais,DestPais,ZonaOrig,ZonaDest,PosOri,PosDes,Tramos,codpro,dsc_producto,posage,NomAge,NomShp,dnmvue,numvue,tipvue,FecVue,FchDsp,FchEta,ChWei_BK,GrRev,NetRev,TipoServicio,Piezas
91201762,MIA,SJO,USA,Costa_Rica,NA_USA_Florida,CA_Costa_Rica,MIA,SJO,MIA-SJO,97,CONSOLIDADO,MIA,UPS SUPPLY CHAIN SOLUTIONS INC,UPS SUPPLY CHAIN SOLUTIONS INC,UC,1205,C,02-11-12 0:00,02-11-12 5:30,11-08-17 0:00,1044,1399.95,1399.95,only Cargo,36
91201795,MIA,EZE,USA,Argentina,NA_USA_Florida,SA_Argentina_EZE,MIA,EZE,MIA-EZE,97,CONSOLIDADO,CHI,AIR GROUP EXPRESS,AIR GROUP EXPRESS(MSP),RF,541,C,01-11-12 0:00,01-11-12 12:05,12-08-17 0:00,99,370,480.2,Only Pax,6
91201821,MIA,BSB,USA,Brazil,NA_USA_Florida,SA_Brazil_Others,MIA,VCP,MIA-VCP-BSB,1,CARGA GENERAL,IAD,RADIANT GLOBAL LOGISTICS INC,RADIANT,RF,735,C,24-10-12 0:00,24-10-12 14:58,13-08-17 0:00,149,6556892,1527.45,Standard,2
91201843,ATL,SCL,USA,Chile,NA_USA_SouthEast,SA_Chile,ATL,MIA,ATL-MIA-SCL,97,CONSOLIDADO,IAD,RADIANT GLOBAL LOGISTICS INC,DBA ATL,TLD,999,T,02-11-12 0:00,03-11-12 0:00,14-08-17 0:00,300,7226494,1247765,Standard,2
91201891,DFW,CNF,USA,Brazil,NA_USA_South,SA_Brazil_Others,DFW,IAH,DFW-IAH-MIA-CNF,97,CONSOLIDADO,DFW,"RADIANT GLOBAL LOGISTICS, INC","RADIANT GLOBAL LOGISTICS, INC",TLA,2902,T,31-10-12 0:00,01-11-12 2:30,15-08-17 0:00,342,1984.84,2774.22,Only Pax,4
91201902,LAX,EZE,USA,Argentina,NA_USA_West,SA_Argentina_EZE,LAX,LIM,LAX-LIM-EZE,1,CARGA GENERAL,LAX,"RADIANT GLOBAL LOGISTICS, INC",RADIANT GLOBAL LOGISTICS INC,LA,2605,P,02-11-12 0:00,02-11-12 22:10,16-08-17 0:00,38,4039560,360.6,Only Pax,2
91201913,SFO,VIX,USA,Brazil,NA_USA_West,SA_Brazil_Special,SFO,LAX,SFO-LAX-MIA-VIX,97,CONSOLIDADO,LAX,"RADIANT GLOBAL LOGISTICS, INC",ASSOCIATED GLOBAL SYSTEMS INC,TQJ,123,T,02-11-12 0:00,03-11-12 5:00,17-08-17 0:00,128,0,0,only Cargo,7
91201924,ORD,SCL,USA,Chile,NA_USA_Midwest,SA_Chile,ORD,MIA,ORD-MIA-SCL,1,CARGA GENERAL,IAD,RADIANT GLOBAL LOGISTICS INC,RADIANT GLOBAL LOGISTICS INC,TPR,1,T,06-11-12 0:00,07-11-12 0:00,18-08-17 0:00,7,0,0,Only Pax,1
91202591,IAH,BOG,USA,Colombia,NA_USA_South,SA_Colombia,IAH,MIA,IAH-MIA-BOG,97,CONSOLIDADO,HOU,DHL DANZAS AIR OCEAN DBA DANZAS AEI INC,DHL DANZAS AIR OCEAN DBA DANZAS AEI INC,TEN,7766,T,26-10-12 0:00,27-10-12 2:30,19-08-17 0:00,519,833.6,703.35,Only Pax,3
91203276,MIA,EZE,USA,Argentina,NA_USA_Florida,SA_Argentina_EZE,MIA,EZE,MIA-EZE,97,CONSOLIDADO,MIA,MIQ GLOBAL LLC,MIQ GLOBAL LLC,RF,541,C,01-11-12 0:00,01-11-12 12:05,20-08-17 0:00,5,75,233.5,only Cargo,1
